****** Levels
 2.34827466E+16      4.    2  'NeIV 4So 1'  0   0.  0
 2.23251820E+16     10.    3  'NeIV 2Do 1'  0   0.  0
 2.16669353E+16      6.    3  'NeIV 2Po 1'  0   0.  0
 1.81089028E+16     12.    3  'NeIV 4Pe 1'  0   0.  0
 1.59456932E+16     10.    3  'NeIV 2De 1'  0   0.  -102
 1.45254087E+16      2.    3  'NeIV 2Se 1'  0   0.  -102
 1.38947958E+16      6.    3  'NeIV 2Pe 1'  0   0.  -102
 9.12258248E+15     12.    3  'NeIV 4Pe 2'  0   0.  -102
 9.01490872E+15      6.    3  'NeIV 2Po 2'  0   0.  -102
 8.82150420E+15      6.    3  'NeIV 2Pe 2'  0   0.  -102
 7.84042307E+15     30.    4  'NeIV+2__ 1'  0   0.  -102
 7.80214686E+15     36.    4  'NeIV+4_o 2'  0   0.  -102
****** Continuum transitions
   1  13   1    104      0      0      0   1.191E-18   0.000E+00
   0.007   0.065   0.212   0.885
   0.588   0.500   0.192  -1.824
   2  13   1    106      0      0      0   5.499E-19   0.000E+00
   0.001   0.009   0.031   0.082   0.225   0.891
   0.280   0.482   0.465   0.465   0.209  -1.798
   3  13   1    106      0      0      0   1.712E-19   0.000E+00
   0.003   0.011   0.046   0.110   0.225   0.895
  -0.063   0.479   0.507   0.451   0.239  -1.789
   4  13   1    108      0      0      0   3.384E-19   0.000E+00
   0.001   0.037   0.048   0.101   0.110   0.129   0.238   0.930
   0.042  -0.479   0.183  -0.028   0.479   0.606   0.422  -1.634
   5  13   1    111      0      0      0   7.028E-19   0.000E+00
   0.003   0.018   0.037   0.050   0.065   0.107   0.118   0.184   0.204   0.268
   0.959
   0.236  -0.468  -0.046   0.526  -0.107  -0.063   0.447   0.606   0.500   0.465
  -1.586
   6  13   1    110      0      0      0   4.066E-22   0.000E+00
   0.001   0.020   0.060   0.086   0.107   0.133   0.148   0.210   0.302   0.974
  -2.803  -1.028  -0.247   0.155  -1.049  -0.373   0.556   0.620   0.472  -1.535
   7  13   1    113      0      0      0   3.725E-19   0.000E+00
   0.007   0.033   0.052   0.063   0.075   0.101   0.118   0.127   0.193   0.210
   0.265   0.317   0.985
  -0.028  -0.468  -0.143   0.949   0.359  -0.442  -0.292   0.060   0.271   0.597
   0.570   0.491  -1.525
   8  13   1    105      0      0      0   1.760E-19   0.000E+00
   0.004   0.044   0.129   0.423   1.085
  -0.245  -0.368  -0.438  -0.817  -2.806
   9  13   1    113      0      0      0   2.899E-23   0.000E+00
   0.004   0.024   0.047   0.067   0.079   0.139   0.189   0.288   0.301   0.368
   0.383   0.420   1.090
  -3.623  -1.792  -2.954  -1.159  -2.092  -2.092  -0.331  -0.173   0.320   0.338
   0.690   0.655  -1.352
